bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
First IC Bank,Community Bank,FALSE,NA,"1,028,049","18,833","23,632","26,850","10,586","13,259","14,785",110,114,117,"5,643","7,023","8,476",0,0,0,43,99,194
First Independence Bank,Community Bank,FALSE,NA,"468,425","30,419","33,530","33,962","8,587","9,000","9,561",80,71,80,"20,466","23,278","22,603",349,420,374,111,82,135
First Independent Bank,Community Bank,FALSE,NA,"125,919","2,405","2,586","2,929","1,348","1,447","1,485",27,25,27,650,753,"1,060",0,0,0,0,0,0
First Independent Bank,Community Bank,FALSE,NA,"473,709","7,486","7,708","9,592","4,866","4,939","5,568",64,75,71,"1,158","1,355","1,759",0,0,52,24,0,456
First Iowa State Bank,Community Bank,FALSE,NA,"194,129","3,683","3,710","4,038","2,543","2,465","2,567",24,24,25,881,972,"1,210",0,0,0,0,0,0
First Jackson Bank,Community Bank,FALSE,NA,"403,414","5,076","5,211","5,660","2,781","2,862","3,052",44,43,45,"1,721","1,769","1,990",0,0,0,0,0,0
First Kansas Bank,Community Bank,FALSE,NA,"262,230","3,463","3,997","3,972","1,806","2,099","2,049",30,32,27,"1,139","1,269","1,317",,,,,,
"First Kentucky Bank, Inc.",Community Bank,FALSE,NA,"565,435","12,653","13,512","13,211","6,885","7,076","7,546",96,103,107,"4,265","4,844","4,127",,,,,,
First Keystone Community Bank,Community Bank,FALSE,NA,"1,326,957","24,369","26,132","26,552","13,593","14,026","14,453",195,198,200,"8,030","9,515","9,406",0,0,0,0,0,0
First Liberty Bank,Community Bank,FALSE,NA,"457,381","12,248","13,059","14,392","6,679","7,078","7,380",75,73,85,"3,465","3,867","4,599",0,0,0,214,354,227
First Liberty Bank,Community Bank,FALSE,NA,"572,061","13,551","15,054","14,958","8,888","9,909","9,779",69,70,76,"3,802","4,051","4,064",0,0,0,0,0,18
First Metro Bank,Community Bank,FALSE,NA,"886,967","13,296","13,965","14,680","8,665","8,928","9,204",128,128,129,"2,860","3,229","3,367",0,0,0,0,0,0
First Midwest Bank of Dexter,Community Bank,FALSE,NA,"501,127","9,846","10,756","11,588","5,935","6,377","7,013",86,86,93,"2,718","3,002","3,317",9,19,24,8,4,13
First Midwest Bank of the Ozarks,Community Bank,FALSE,NA,"715,014","12,081","16,552","17,022","6,344","8,523","8,756",91,119,117,"4,178","6,170","6,320",0,0,0,0,0,0
First Minnetonka City Bank,Community Bank,FALSE,NA,"269,460","5,014","5,240","5,369","3,503","3,663","3,716",31,30,32,912,"1,141","1,169",0,0,0,4,1,2
First Missouri Bank of SEMO,Community Bank,FALSE,NA,"210,377","4,796","5,021","5,053","2,764","2,908","2,903",51,47,40,"1,450","1,510","1,534",,,,,,
First Missouri State Bank,Community Bank,FALSE,NA,"220,071","4,491","4,459","4,680","2,462","2,471","2,627",32,28,28,"1,242","1,158","1,220",,,,,,
First Missouri State Bank of Cape County,Community Bank,FALSE,NA,"186,642","4,745","4,722","4,577","2,949","2,879","2,710",35,32,35,"1,267","1,255","1,365",,,,,,
"First Montana Bank, Inc.",Community Bank,FALSE,NA,"532,083","11,604","12,644","13,616","6,638","6,491","7,709",83,86,84,"3,411","4,733","4,409",0,0,0,0,0,0
"First Mutual Bank, FSB",Community Bank,FALSE,NA,"109,906","3,398","3,091","3,244","1,612","1,462","1,636",29,24,22,"1,193","1,075","1,082",40,26,17,41,17,17
First National Bank,Community Bank,FALSE,NA,"437,457","8,931","9,716","9,869","5,086","5,111","5,183",71,72,71,"1,926","2,406","2,762",0,0,120,0,0,0
First National Bank,Community Bank,FALSE,NA,"99,396","3,674","3,756","4,151","2,305","2,094","2,341",35,35,33,873,"1,150","1,311",0,63,0,0,32,0
First National Bank,Community Bank,FALSE,NA,"264,042","5,977","6,312","6,594","3,651","3,932","4,042",50,48,49,"1,685","1,756","1,895",0,0,0,0,0,0
First National Bank,Community Bank,FALSE,NA,"383,633","7,644","8,062","7,879","4,496","4,738","4,611",95,91,82,"2,093","2,270","2,279",0,0,0,0,0,0
First National Bank,Community Bank,FALSE,NA,"1,670,707","54,789","57,288","66,927","17,143","18,332","19,214",168,175,172,"33,988","35,286","43,762",,,,,,
First National Bank,Community Bank,FALSE,NA,"1,154,848","26,372","31,167","30,950","16,952","20,935","20,248",150,160,158,"6,369","7,164","7,610",0,0,304,0,0,119
First National Bank,Community Bank,FALSE,NA,"113,707","2,706","2,613","2,741","1,617","1,494","1,510",23,25,23,484,464,558,0,0,0,0,6,3
First National Bank,Community Bank,FALSE,NA,"453,122","9,612","9,582","10,065","5,775","5,731","5,979",96,93,100,"2,580","2,698","2,881",130,0,0,62,0,0
First National Bank,Community Bank,FALSE,NA,"421,466","18,795","20,910","24,254","5,866","6,512","6,616",83,79,77,"11,873","13,458","16,696",,,,,,
First National Bank,Community Bank,FALSE,NA,"302,444","6,695","7,061","8,326","3,668","3,767","3,623",59,55,57,"2,222","2,395","3,370",0,0,275,0,0,0
First National Bank,Community Bank,FALSE,NA,"968,038","20,733","25,928","26,571","10,448","14,756","14,742",187,180,184,"7,701","7,547","8,353",383,368,264,515,76,51
First National Bank,Community Bank,FALSE,NA,"98,422","2,210","2,287","2,350","1,454","1,511","1,532",15,16,17,636,674,722,0,0,0,0,0,0
First National Bank & Trust,Community Bank,FALSE,NA,"400,160","11,200","11,936","11,989","6,822","6,785","6,642",74,75,75,"2,898","3,658","3,861",0,262,303,0,0,0
First National Bank & Trust Company of McAlester,Community Bank,FALSE,NA,"557,903","11,722","11,585","12,224","6,413","6,426","6,747",78,76,76,"3,460","3,740","4,065",0,0,0,0,0,0
First National Bank & Trust of Newtown,Community Bank,FALSE,NA,"1,262,967","20,458","21,870","21,769","11,998","12,479","12,252",131,126,124,"5,539","6,312","6,438",0,0,0,0,0,0
"First National Bank & Trust, Elk City, Oklahoma",Community Bank,FALSE,NA,"310,803","6,415","6,334","6,458","3,717","3,800","3,961",41,42,43,"1,839","1,731","1,773",0,0,0,37,24,46
"First National Bank Ames, Iowa",Community Bank,FALSE,NA,"1,117,262","18,142","18,550","19,475","10,577","10,526","10,786",132,128,122,"4,922","5,473","5,639",0,0,0,123,131,220
First National Bank and Trust,Community Bank,FALSE,NA,"281,572","8,211","8,087","8,498","5,008","5,023","5,011",59,65,65,"2,564","2,392","2,835",0,0,0,0,0,0
First National Bank and Trust,Community Bank,FALSE,NA,"208,583","6,100","6,754","6,763","3,663","4,113","4,121",46,51,49,"1,934","2,085","2,097",0,0,0,0,0,0
First National Bank and Trust Company,Community Bank,FALSE,NA,"420,186","4,643","5,762","8,421","2,682","3,354","6,020",28,59,59,"1,135","1,341",415,0,0,163,0,0,0
First National Bank and Trust Company,Community Bank,FALSE,NA,"814,463","7,969","15,181","28,583","4,287","9,635","16,734",61,132,150,"2,344","4,051","6,773",47,0,0,20,89,141
First National Bank and Trust Company of Ardmore,Community Bank,FALSE,NA,"676,116","16,812","18,141","18,593","10,954","11,611","11,572",151,156,161,"3,185","3,287","3,760",0,0,0,0,0,0
First National Bank and Trust Company of Bottineau,Community Bank,FALSE,NA,"158,673","3,230","3,097","3,144","2,184","2,243","2,170",24,24,23,807,747,832,0,0,0,0,0,104
First National Bank and Trust Company of Weatherford,Community Bank,FALSE,NA,"296,437","7,837","8,053",751,"3,782","3,958",395,56,58,59,"2,572","2,597",258,0,0,0,0,0,0
First National Bank and Trust Company of Weatherford,Community Bank,FALSE,NA,"997,176","9,283","28,830","30,378","5,301","16,721","17,169",58,177,187,"2,949","8,958","9,579",0,0,0,0,0,0
First National Bank at Darlington,Community Bank,FALSE,NA,"183,447","3,633","4,192","4,575","2,282","2,766","2,638",27,30,30,"1,158","1,248","1,748",0,0,196,0,0,0
First National Bank Colorado,Community Bank,FALSE,NA,"568,358","9,205","10,588","10,733","5,968","6,426","6,603",81,81,81,"2,289","3,081","3,150",,,,,,
First National Bank in Cimarron,Community Bank,FALSE,NA,"145,351","2,900","2,895","3,047","1,901","1,838","1,960",18,18,19,724,751,784,81,52,46,6,6,5
First National Bank in DeRidder,Community Bank,FALSE,NA,"366,657","10,265","10,066","10,502","6,252","6,081","6,219",87,80,78,"2,889","2,992","3,250",0,154,191,35,0,0
First National Bank in Frankfort,Community Bank,FALSE,NA,"57,433","1,215","1,329","1,561",605,646,659,7,8,8,501,546,770,0,0,0,2,1,0
First National Bank in Fredonia,Community Bank,FALSE,NA,"97,264","2,093","2,098","2,049","1,121","1,111","1,139",17,16,15,817,867,813,0,0,0,0,0,0
First National Bank in New Bremen,Community Bank,FALSE,NA,"403,361","5,042","5,241","5,524","2,910","2,927","2,895",38,39,32,"1,753","1,897","2,140",4,5,5,3,3,1
First National Bank in Okeene,Community Bank,FALSE,NA,"73,828","1,442","1,454","1,471",735,796,791,11,11,12,488,443,434,0,0,0,0,0,0
First National Bank in Olney,Community Bank,FALSE,NA,"436,090","7,781","8,081","8,512","5,056","4,884","5,140",68,69,70,"2,157","2,589","2,690",0,0,0,0,0,0
First National Bank in Ord,Community Bank,FALSE,NA,"152,633","3,007","3,084","3,038","2,042","2,007","1,971",22,21,22,738,832,802,0,0,0,0,0,0
First National Bank in Philip,Community Bank,FALSE,NA,"391,088","4,916","5,193","4,525","3,404","3,460","2,516",29,29,28,"1,201","1,442","1,576",0,0,0,0,0,0
First National Bank in Pinckneyville,Community Bank,FALSE,NA,"133,251","2,717","2,674","3,366","1,738","1,569","1,880",22,21,20,627,728,984,15,43,12,2,0,-7
First National Bank in Port Lavaca,Community Bank,FALSE,NA,"375,335","5,755","6,327","6,641","3,497","3,943","4,097",46,48,46,"1,291","1,395","1,629",136,0,155,0,0,0
First National Bank in Taylorville,Community Bank,FALSE,NA,"215,786","3,321","3,435","3,362","2,022","2,073","1,955",27,24,24,795,876,905,0,0,0,0,0,0
First National Bank in Tigerton,Community Bank,FALSE,NA,"29,818",674,658,711,318,318,330,7,7,7,272,265,303,0,0,0,0,0,0
First National Bank in Trinidad,Community Bank,FALSE,NA,"270,211","6,654","7,466","7,201","3,846","3,952","4,207",64,63,67,"1,756","2,405","1,853",0,0,0,0,0,0
First National Bank Minnesota,Community Bank,FALSE,NA,"442,713","9,941","9,994","10,521","5,727","5,740","5,917",62,63,62,"3,184","3,213","3,453",0,0,0,0,0,0
First National Bank North,Community Bank,FALSE,NA,"753,204","13,764","14,728","15,780","9,340","9,727","10,278",112,111,110,"2,483","2,969","3,167",,,,25,23,46
First National Bank Northwest Florida,Community Bank,FALSE,NA,"189,617","3,353","3,640","3,549","2,071","2,086","2,208",31,30,30,824,"1,106",873,0,0,0,0,0,0
First National Bank of Absecon,Community Bank,FALSE,NA,"182,394","4,301","4,684","4,801","2,518","2,751","2,699",33,35,37,"1,351","1,487","1,576",116,197,105,89,41,42
First National Bank of Albany/Breckenridge,Community Bank,FALSE,NA,"705,466","10,996","11,948","15,752","6,479","6,203","9,153",77,78,88,"3,633","4,588","5,303",0,0,0,238,297,279
First National Bank of Alvin,Community Bank,FALSE,NA,"174,141","1,917","1,889","2,316",914,877,"1,105",19,19,19,723,676,808,0,0,0,0,0,0
First National Bank of Bosque County,Community Bank,FALSE,NA,"179,496","3,877","3,833","4,131","2,175","2,162","2,232",33,35,31,"1,413","1,385","1,617",0,0,0,0,0,0
First National Bank of Brookfield,Community Bank,FALSE,NA,"331,446","4,818","6,351","6,235","3,172","4,662","4,304",33,34,35,"1,279","1,319","1,518",0,0,0,0,0,0
First National Bank of Burleson,Community Bank,FALSE,NA,"251,393","3,848","3,797","4,136","2,193","2,229","2,354",30,30,30,"1,129","1,082","1,264",0,0,0,0,0,0
First National Bank of Central Texas,Community Bank,FALSE,NA,"1,333,228","19,879","22,264","25,578","9,449","10,927","11,761",96,106,105,"8,378","9,341","11,817",0,0,0,0,0,0
First National Bank of Clarksdale,Community Bank,FALSE,NA,"393,918","8,722","8,677","9,124","6,439","6,288","6,610",50,46,49,"1,282","1,362","1,477",77,0,0,0,0,0
First National Bank of Coffee County,Community Bank,FALSE,NA,"429,399","8,171","9,503","10,314","5,179","5,888","6,415",50,61,57,"2,192","2,605","2,711",0,0,0,0,0,0
First National Bank of Decatur County,Community Bank,FALSE,NA,"312,617","5,488","6,553","7,672","2,893","3,544","3,985",39,43,46,"1,840","2,121","2,728",0,0,0,12,46,18
First National Bank of Dublin,Community Bank,FALSE,NA,"135,095","3,642","3,571","3,942","2,250","2,362","2,559",33,33,32,971,781,968,0,0,0,3,2,1
First National Bank of Eagle Lake,Community Bank,FALSE,NA,"144,334","4,102","4,648","5,270","2,225","2,766","3,222",26,26,26,"1,298","1,296","1,468",,,0,21,20,24
First National Bank of Eastern Arkansas,Community Bank,FALSE,NA,"559,838","10,402","11,045","12,177","6,323","6,846","7,165",103,105,106,"2,089","2,195","3,024",0,0,0,0,0,0
First National Bank of Elmer,Community Bank,FALSE,NA,"371,525","9,420","9,862","10,287","5,388","5,673","6,196",68,71,71,"2,987","3,026","2,844",0,0,0,571,562,327
First National Bank of Fort Stockton,Community Bank,FALSE,NA,"143,610","4,342","4,402","4,538","2,122","2,112","2,367",30,27,26,"1,639","1,694","1,631",0,0,5,0,0,13
First National Bank of Giddings,Community Bank,FALSE,NA,"289,364","4,721","4,994","5,482","2,563","2,501","2,792",35,36,37,"1,648","1,931","2,123",0,140,153,0,0,0
First National Bank of Gillette,Community Bank,FALSE,NA,"622,165","10,153","10,431","10,195","6,473","6,612","6,339",74,74,73,"2,879","3,042","3,069",0,0,0,0,0,0
First National Bank of Griffin,Community Bank,FALSE,NA,"391,931","9,949","9,743","9,876","5,290","5,058","5,129",81,81,74,"3,339","3,420","3,426",0,0,0,0,0,0
First National Bank of Hartford,Community Bank,FALSE,NA,"140,648","5,218","5,505","6,224","2,764","2,923","3,234",53,50,53,"1,899","2,021","2,481",242,0,0,0,0,0
First National Bank of Harveyville,Community Bank,FALSE,NA,"16,189",566,645,542,258,335,268,3,3,3,118,136,110,0,0,0,0,0,0
First National Bank of Hugo,Community Bank,FALSE,NA,"150,257","3,128","3,315","2,755","1,901","1,969","1,374",23,23,24,889,"1,012","1,003",0,46,46,12,4,8
First National Bank of Huntsville,Community Bank,FALSE,NA,"598,620","12,114","12,214","12,747","6,512","6,446","6,635",94,94,93,"4,096","4,231","4,462",130,189,225,20,30,38
First National Bank of Izard County,Community Bank,FALSE,NA,"201,356","4,626","4,918","5,369","3,056","3,154","3,293",43,41,39,"1,033","1,291","1,460",0,0,0,6,0,28
First National Bank of Jasper,Community Bank,FALSE,NA,"310,727","5,556","5,863","5,954","3,169","3,324","3,249",48,51,49,"1,897","2,076","2,235",,,,,,
First National Bank of Johnson,Community Bank,FALSE,NA,"95,693","1,589","1,677","1,682",948,958,957,11,11,10,472,545,543,0,0,0,0,0,0
"Citizens Bank, National Association",Community Bank,TRUE,150000,"131,143","2,655","2,661","2,690","1,451","1,449","1,490",23,24,23,717,670,656,0,0,0,0,0,0
First National Bank of Kentucky,Community Bank,FALSE,NA,"186,552","4,356","5,148","5,669","2,140","2,604","3,131",34,38,41,"1,784","1,893","1,864",138,23,31,65,20,9
First National Bank of Lacon,Community Bank,FALSE,NA,"78,474","1,718","1,838","1,980","1,119","1,212","1,241",13,13,13,239,268,301,0,0,0,0,0,0
First National Bank of Lake Jackson,Community Bank,FALSE,NA,"235,652","2,897","2,410","3,158","1,645","1,115","1,851",27,28,28,914,950,"1,024",0,0,0,0,0,0
First National Bank of Louisiana,Community Bank,FALSE,NA,"554,069","11,193","12,107","11,794","7,598","6,996","7,748",70,72,73,"2,690","4,028","2,937",0,75,0,0,9,0
First National Bank of Manchester,Community Bank,FALSE,NA,"191,454","4,483","4,738","5,378","2,160","2,392","2,674",36,40,38,"1,629","1,671","1,906",0,0,0,0,0,0
First National Bank of Michigan,Community Bank,FALSE,NA,"936,062","14,509","16,813","19,010","8,567","9,850","11,251",80,81,86,"4,190","4,746","5,681",0,0,0,0,0,0
First National Bank of Middle Tennessee,Community Bank,FALSE,NA,"813,453","21,328","19,533","20,122","14,682","13,048","13,576",140,140,144,"5,353","5,195","5,224",0,0,0,0,0,0
First National Bank of Nokomis,Community Bank,FALSE,NA,"178,784","3,950","4,013","4,329","2,498","2,496","2,659",41,40,43,853,775,826,0,0,0,204,131,154
First National Bank of Oklahoma,Community Bank,FALSE,NA,"747,928","12,226","13,392","14,771","7,608","8,322","9,062",66,70,67,"3,402","3,782","4,374",0,0,0,0,0,0
First National Bank of Orwell,Community Bank,FALSE,NA,"84,636","2,239","2,295","2,242","1,295","1,321","1,276",16,15,14,703,754,757,0,0,0,0,0,0
First National Bank of Pana,Community Bank,FALSE,NA,"280,674","4,630","4,884","5,284","2,544","2,643","2,863",39,39,40,"1,563","1,689","1,791",0,0,0,0,0,0
First National Bank of Pasco,Community Bank,FALSE,NA,"285,077","7,390","8,590","9,459","5,044","5,759","6,354",48,51,50,"1,624","2,081","2,258",0,76,0,65,138,143
First National Bank of Pulaski,Community Bank,FALSE,NA,"1,263,190","22,616","24,201","25,887","13,616","14,319","14,968",167,167,179,"5,914","6,391","7,293",,,,,,
First National Bank of Scotia,Community Bank,FALSE,NA,"669,571","16,813","18,373","18,703","10,238","10,986","11,283",139,136,148,"4,219","5,244","5,285",33,,,48,,
First National Bank of South Carolina,Community Bank,FALSE,NA,"277,071","6,649","6,695","7,288","3,444","3,382","3,363",59,54,59,"2,200","2,289","2,823",0,0,0,0,0,0
First National Bank of South Miami,Community Bank,FALSE,NA,"980,770","21,690","22,701","22,958","13,196","13,456","14,121",120,118,124,"5,774","6,513","6,926",0,0,0,0,0,90
First National Bank of South Padre Island,Community Bank,FALSE,NA,"90,593","1,667","1,605","1,763",787,698,759,12,13,12,580,619,711,0,0,0,0,0,0
First National Bank of Spearville,Community Bank,FALSE,NA,"69,927",761,830,838,421,481,444,6,6,6,207,237,205,0,0,0,0,0,0
First National Bank of Steeleville,Community Bank,FALSE,NA,"238,076","4,933","4,958","5,148","2,925","2,913","3,057",41,39,39,"1,324","1,377","1,460",0,0,0,26,25,14
First National Bank of Tennessee,Community Bank,FALSE,NA,"1,282,471","20,672","23,153","25,152","12,726","13,598","15,143",148,146,146,"5,097","6,610","7,005",0,255,225,0,64,13
First National Bank of Waterloo,Community Bank,FALSE,NA,"839,634","16,502","17,545","19,229","10,749","11,074","11,804",134,138,147,"3,896","4,605","5,372",0,0,0,0,0,0
First National Bank of Wauchula,Community Bank,FALSE,NA,"89,713","3,323","3,460","3,481","1,884","1,891","1,909",27,27,27,"1,085","1,224","1,215",0,0,0,3,7,8
First National Bank USA,Community Bank,FALSE,NA,"212,468","4,468","4,771","5,035","2,297","2,350","2,504",30,29,30,"1,727","1,944","2,060",,,,,,
"First National Bank, Cortez",Community Bank,FALSE,NA,"128,086","3,318","3,283","3,409","1,733","1,718","1,710",22,21,22,935,961,"1,080",129,145,157,11,6,8
First National Bankers Bank,Community Bank,FALSE,NA,"982,653","48,707","51,834","42,683","34,720","36,298","26,843",134,132,129,"10,995","12,587","12,514",0,0,0,0,0,0
First National Community Bank,Community Bank,FALSE,NA,"300,835","7,904","7,932","7,656","5,014","5,120","4,859",54,55,51,"2,196","2,095","2,055",0,0,0,0,0,0
First National Community Bank,Community Bank,FALSE,NA,"582,751","9,733","14,375","15,073","5,496","7,081","8,701",68,96,103,"2,798","5,593","4,244",0,0,0,0,0,0
First National Trust Company,Community Bank,FALSE,NA,"38,364","35,217","39,778","42,657","28,798","32,870","34,795",177,173,187,"5,816","6,303","7,238",,,,,,
First Nations Bank,Community Bank,FALSE,NA,"488,345","6,606","7,037","7,288","4,154","4,540","4,666",40,37,37,"1,737","1,770","1,883",154,151,176,0,0,0
First NaturalState Bank,Community Bank,FALSE,NA,"83,942","2,003","2,078","2,357","1,033","1,131","1,222",17,17,17,700,688,807,0,0,0,187,93,149
